candidate_id,years_experience,education_level,skills,experience_description,position_applied,suitable
CAND_0040,12,master,"kubernetes, scrum, teamwork, communication, project management, java, docker","Worked as consultant for 12 years with expertise in kubernetes, scrum, teamwork",consultant,1
CAND_0041,11,associate,"azure, kubernetes, leadership","Worked as consultant for 11 years with expertise in azure, kubernetes, leadership",consultant,0
CAND_0042,10,high_school,"sql, project management, linux, azure, java","Worked as analyst for 10 years with expertise in sql, project management, linux",analyst,1
CAND_0043,9,high_school,"docker, react, sql, leadership, linux, nodejs, javascript, agile","Worked as analyst for 9 years with expertise in docker, react, sql",analyst,1
CAND_0044,9,master,"nodejs, aws","Worked as consultant for 9 years with expertise in nodejs, aws",consultant,1
CAND_0045,12,master,"linux, python, project management, git, javascript, scrum","Worked as consultant for 12 years with expertise in linux, python, project management",consultant,1
CAND_0046,7,associate,"linux, scrum","Worked as developer for 7 years with expertise in linux, scrum",developer,0
CAND_0047,13,high_school,"docker, azure, git, leadership, nodejs, scrum, java, agile","Worked as manager for 13 years with expertise in docker, azure, git",manager,1
CAND_0048,2,master,"agile, leadership, git","Worked as developer for 2 years with expertise in agile, leadership, git",developer,0
CAND_0049,10,associate,"scrum, java, azure","Worked as designer for 10 years with expertise in scrum, java, azure",designer,0
CAND_0050,16,phd,"leadership, statistics, machine learning, teamwork, react, sql, project management","Worked as consultant for 16 years with expertise in leadership, statistics, machine learning",consultant,1
CAND_0051,6,bachelor,"linux, sql, data analysis","Worked as analyst for 6 years with expertise in linux, sql, data analysis",analyst,1
CAND_0052,18,high_school,"excel, scrum, nodejs, linux, agile, python, teamwork, leadership","Worked as designer for 18 years with expertise in excel, scrum, nodejs",designer,1
CAND_0053,3,phd,"scrum, teamwork, kubernetes","Worked as designer for 3 years with expertise in scrum, teamwork, kubernetes",designer,1
CAND_0054,11,high_school,"react, python, machine learning, linux, sql, aws, javascript","Worked as analyst for 11 years with expertise in react, python, machine learning",analyst,1
CAND_0055,12,associate,"git, communication, react, aws","Worked as consultant for 12 years with expertise in git, communication, react",consultant,0
CAND_0056,7,associate,"communication, git, excel, scrum, teamwork, aws","Worked as designer for 7 years with expertise in communication, git, excel",designer,0
CAND_0057,10,master,"teamwork, git, agile, excel","Worked as developer for 10 years with expertise in teamwork, git, agile",developer,1
CAND_0058,8,associate,"kubernetes, scrum, data analysis, docker, aws, git","Worked as analyst for 8 years with expertise in kubernetes, scrum, data analysis",analyst,0
CAND_0059,11,bachelor,"statistics, sql","Worked as manager for 11 years with expertise in statistics, sql",manager,1
CAND_0060,8,phd,"python, docker, react, nodejs, sql, data analysis, excel, statistics","Worked as analyst for 8 years with expertise in python, docker, react",analyst,1
CAND_0061,9,high_school,"linux, teamwork, excel, statistics, scrum","Worked as manager for 9 years with expertise in linux, teamwork, excel",manager,0
CAND_0062,12,associate,"agile, aws, data analysis, linux, azure, kubernetes, nodejs","Worked as designer for 12 years with expertise in agile, aws, data analysis",designer,0
CAND_0063,6,master,"data analysis, react","Worked as consultant for 6 years with expertise in data analysis, react",consultant,1
CAND_0064,4,bachelor,"git, nodejs, python, agile, teamwork, scrum, statistics","Worked as designer for 4 years with expertise in git, nodejs, python",designer,1
CAND_0065,8,high_school,"project management, communication, linux, git","Worked as analyst for 8 years with expertise in project management, communication, linux",analyst,0
CAND_0066,12,phd,"project management, azure","Worked as developer for 12 years with expertise in project management, azure",developer,1
CAND_0067,1,master,"linux, project management, sql, kubernetes, aws, teamwork","Worked as manager for 1 years with expertise in linux, project management, sql",manager,1
CAND_0068,18,master,"agile, python, communication, excel","Worked as developer for 18 years with expertise in agile, python, communication",developer,1
CAND_0069,6,associate,"linux, sql, agile","Worked as designer for 6 years with expertise in linux, sql, agile",designer,0
CAND_0070,8,associate,"teamwork, communication, agile, statistics, project management","Worked as designer for 8 years with expertise in teamwork, communication, agile",designer,1
CAND_0071,14,phd,"docker, communication, kubernetes, agile, sql","Worked as designer for 14 years with expertise in docker, communication, kubernetes",designer,1
CAND_0072,8,phd,"statistics, docker, teamwork, project management","Worked as consultant for 8 years with expertise in statistics, docker, teamwork",consultant,1
CAND_0073,5,associate,"data analysis, docker, kubernetes, leadership","Worked as consultant for 5 years with expertise in data analysis, docker, kubernetes",consultant,0
CAND_0074,2,master,"statistics, aws, excel, scrum, python, leadership, javascript","Worked as developer for 2 years with expertise in statistics, aws, excel",developer,1
CAND_0075,17,bachelor,"aws, javascript","Worked as consultant for 17 years with expertise in aws, javascript",consultant,1
CAND_0076,8,phd,"machine learning, agile, sql, docker, nodejs, react","Worked as developer for 8 years with expertise in machine learning, agile, sql",developer,1
CAND_0077,8,associate,"git, nodejs, communication","Worked as designer for 8 years with expertise in git, nodejs, communication",designer,0
CAND_0078,18,master,"sql, java, project management, kubernetes, python, excel","Worked as consultant for 18 years with expertise in sql, java, project management",consultant,1
CAND_0079,19,phd,"aws, python, azure, communication, statistics","Worked as designer for 19 years with expertise in aws, python, azure",designer,1
CAND_0080,11,bachelor,"docker, scrum, azure","Worked as consultant for 11 years with expertise in docker, scrum, azure",consultant,1
CAND_0081,14,high_school,"kubernetes, leadership, azure","Worked as designer for 14 years with expertise in kubernetes, leadership, azure",designer,0
CAND_0082,15,associate,"java, project management, javascript","Worked as consultant for 15 years with expertise in java, project management, javascript",consultant,1
CAND_0083,5,master,"azure, git, nodejs, aws, excel, communication","Worked as manager for 5 years with expertise in azure, git, nodejs",manager,1
CAND_0084,11,associate,"machine learning, python, docker, javascript, teamwork, leadership","Worked as designer for 11 years with expertise in machine learning, python, docker",designer,1
CAND_0085,0,phd,"azure, project management, machine learning, data analysis, nodejs, teamwork, javascript, sql","Worked as consultant for 0 years with expertise in azure, project management, machine learning",consultant,1
CAND_0086,15,phd,"statistics, communication","Worked as consultant for 15 years with expertise in statistics, communication",consultant,1
CAND_0087,1,associate,"data analysis, statistics","Worked as consultant for 1 years with expertise in data analysis, statistics",consultant,0
CAND_0088,2,associate,"python, kubernetes, git, agile, statistics, linux, sql","Worked as analyst for 2 years with expertise in python, kubernetes, git",analyst,0
CAND_0089,13,associate,"git, communication, python, project management","Worked as designer for 13 years with expertise in git, communication, python",designer,1
CAND_0090,13,bachelor,"kubernetes, excel, statistics, data analysis, agile, linux, nodejs, machine learning","Worked as consultant for 13 years with expertise in kubernetes, excel, statistics",consultant,1
CAND_0091,3,master,"javascript, azure, sql, kubernetes, scrum, communication, statistics","Worked as designer for 3 years with expertise in javascript, azure, sql",designer,1
CAND_0092,7,high_school,"aws, data analysis, communication, nodejs","Worked as analyst for 7 years with expertise in aws, data analysis, communication",analyst,0
CAND_0093,16,phd,"data analysis, sql, python, linux, azure","Worked as manager for 16 years with expertise in data analysis, sql, python",manager,1
CAND_0094,10,master,"statistics, java, aws, linux, git","Worked as manager for 10 years with expertise in statistics, java, aws",manager,1
CAND_0095,1,master,"git, machine learning, kubernetes, aws, python","Worked as consultant for 1 years with expertise in git, machine learning, kubernetes",consultant,1
CAND_0096,19,master,"java, teamwork, linux, scrum, kubernetes","Worked as analyst for 19 years with expertise in java, teamwork, linux",analyst,1
CAND_0097,19,associate,"leadership, react, agile, communication, linux, aws","Worked as developer for 19 years with expertise in leadership, react, agile",developer,1
CAND_0098,3,associate,"docker, teamwork, linux, excel, azure, sql, project management","Worked as manager for 3 years with expertise in docker, teamwork, linux",manager,1
CAND_0099,1,bachelor,"project management, agile, azure, machine learning","Worked as analyst for 1 years with expertise in project management, agile, azure",analyst,0
CAND_0100,7,phd,"python, azure, leadership, agile, machine learning","Worked as analyst for 7 years with expertise in python, azure, leadership",analyst,1
CAND_0101,1,bachelor,"docker, java, communication, data analysis, agile, machine learning","Worked as analyst for 1 years with expertise in docker, java, communication",analyst,1
CAND_0102,3,master,"python, sql, communication, statistics, react, leadership, nodejs, teamwork","Worked as analyst for 3 years with expertise in python, sql, communication",analyst,1
CAND_0103,6,phd,"nodejs, agile, teamwork, data analysis, java, leadership","Worked as developer for 6 years with expertise in nodejs, agile, teamwork",developer,1
CAND_0104,15,master,"statistics, javascript, agile, project management","Worked as analyst for 15 years with expertise in statistics, javascript, agile",analyst,1
CAND_0105,7,phd,"excel, teamwork, sql, data analysis","Worked as designer for 7 years with expertise in excel, teamwork, sql",designer,1
CAND_0106,2,high_school,"python, git, docker, excel, java","Worked as consultant for 2 years with expertise in python, git, docker",consultant,0
CAND_0107,15,master,"docker, machine learning, agile, azure, statistics, git, leadership, data analysis","Worked as developer for 15 years with expertise in docker, machine learning, agile",developer,1
CAND_0108,1,phd,"machine learning, linux, javascript, python, kubernetes, sql, data analysis, scrum","Worked as consultant for 1 years with expertise in machine learning, linux, javascript",consultant,1
CAND_0109,16,phd,"leadership, java, scrum","Worked as manager for 16 years with expertise in leadership, java, scrum",manager,1
CAND_0110,1,phd,"teamwork, java, statistics, excel, sql, kubernetes, project management, leadership","Worked as consultant for 1 years with expertise in teamwork, java, statistics",consultant,1
CAND_0111,4,associate,"data analysis, excel","Worked as analyst for 4 years with expertise in data analysis, excel",analyst,0
CAND_0112,19,master,"docker, leadership, python","Worked as analyst for 19 years with expertise in docker, leadership, python",analyst,1
CAND_0113,19,associate,"docker, java, react","Worked as manager for 19 years with expertise in docker, java, react",manager,0
CAND_0114,19,master,"azure, teamwork, aws, java, communication, python, project management","Worked as analyst for 19 years with expertise in azure, teamwork, aws",analyst,1
CAND_0115,16,bachelor,"leadership, javascript, communication, linux","Worked as designer for 16 years with expertise in leadership, javascript, communication",designer,1
CAND_0116,2,phd,"teamwork, scrum","Worked as manager for 2 years with expertise in teamwork, scrum",manager,0
CAND_0117,6,associate,"linux, python","Worked as manager for 6 years with expertise in linux, python",manager,0
CAND_0118,9,high_school,"excel, azure, aws, kubernetes, javascript, linux, communication","Worked as consultant for 9 years with expertise in excel, azure, aws",consultant,0
CAND_0119,6,phd,"aws, java, azure","Worked as analyst for 6 years with expertise in aws, java, azure",analyst,1
CAND_0120,3,associate,"communication, javascript, sql, azure, leadership, machine learning, linux, docker","Worked as developer for 3 years with expertise in communication, javascript, sql",developer,1
CAND_0121,1,associate,"kubernetes, docker, java, linux","Worked as analyst for 1 years with expertise in kubernetes, docker, java",analyst,0
CAND_0122,13,bachelor,"statistics, aws","Worked as consultant for 13 years with expertise in statistics, aws",consultant,1
CAND_0123,10,master,"react, python, scrum, nodejs, azure","Worked as analyst for 10 years with expertise in react, python, scrum",analyst,1
CAND_0124,7,high_school,"nodejs, agile","Worked as designer for 7 years with expertise in nodejs, agile",designer,0
CAND_0125,3,master,"agile, kubernetes, project management, linux, communication, react, azure, leadership","Worked as analyst for 3 years with expertise in agile, kubernetes, project management",analyst,1
CAND_0126,14,master,"communication, leadership","Worked as designer for 14 years with expertise in communication, leadership",designer,1
CAND_0127,14,bachelor,"machine learning, docker","Worked as manager for 14 years with expertise in machine learning, docker",manager,1
CAND_0128,5,phd,"git, scrum","Worked as manager for 5 years with expertise in git, scrum",manager,1
CAND_0129,13,master,"scrum, statistics, docker, machine learning, sql, python, nodejs","Worked as consultant for 13 years with expertise in scrum, statistics, docker",consultant,1
CAND_0130,13,high_school,"leadership, java, react, nodejs, project management","Worked as manager for 13 years with expertise in leadership, java, react",manager,1
CAND_0131,8,master,"data analysis, leadership, agile, aws, sql","Worked as manager for 8 years with expertise in data analysis, leadership, agile",manager,1
CAND_0132,0,phd,"git, kubernetes","Worked as consultant for 0 years with expertise in git, kubernetes",consultant,0
CAND_0133,18,master,"excel, git, machine learning, aws, kubernetes","Worked as designer for 18 years with expertise in excel, git, machine learning",designer,1
CAND_0134,11,associate,"machine learning, java, project management, azure","Worked as manager for 11 years with expertise in machine learning, java, project management",manager,1
CAND_0135,6,phd,"sql, kubernetes","Worked as consultant for 6 years with expertise in sql, kubernetes",consultant,1
CAND_0136,12,phd,"java, teamwork, sql, agile, react","Worked as developer for 12 years with expertise in java, teamwork, sql",developer,1
CAND_0137,14,master,"kubernetes, teamwork, data analysis","Worked as analyst for 14 years with expertise in kubernetes, teamwork, data analysis",analyst,1
CAND_0138,18,bachelor,"linux, excel, docker","Worked as consultant for 18 years with expertise in linux, excel, docker",consultant,1
CAND_0139,12,associate,"azure, linux, nodejs, communication, python, aws","Worked as consultant for 12 years with expertise in azure, linux, nodejs",consultant,1
CAND_0140,10,associate,"docker, react","Worked as manager for 10 years with expertise in docker, react",manager,0
CAND_0141,14,bachelor,"react, teamwork","Worked as manager for 14 years with expertise in react, teamwork",manager,1
CAND_0142,13,bachelor,"communication, excel, react","Worked as manager for 13 years with expertise in communication, excel, react",manager,1
CAND_0143,12,bachelor,"linux, statistics","Worked as designer for 12 years with expertise in linux, statistics",designer,1
CAND_0144,13,master,"teamwork, machine learning, statistics, communication, leadership","Worked as consultant for 13 years with expertise in teamwork, machine learning, statistics",consultant,1
CAND_0145,4,phd,"javascript, excel, teamwork, leadership, scrum, communication","Worked as designer for 4 years with expertise in javascript, excel, teamwork",designer,1
CAND_0146,18,bachelor,"docker, git, scrum, aws, machine learning","Worked as analyst for 18 years with expertise in docker, git, scrum",analyst,1
CAND_0147,18,master,"sql, aws, react, statistics","Worked as consultant for 18 years with expertise in sql, aws, react",consultant,1
CAND_0148,9,associate,"react, excel, statistics, data analysis, nodejs","Worked as consultant for 9 years with expertise in react, excel, statistics",consultant,0
CAND_0149,8,high_school,"linux, python, git, project management","Worked as designer for 8 years with expertise in linux, python, git",designer,1
CAND_0150,18,bachelor,"sql, machine learning","Worked as analyst for 18 years with expertise in sql, machine learning",analyst,1
CAND_0151,6,high_school,"python, teamwork","Worked as developer for 6 years with expertise in python, teamwork",developer,0
CAND_0152,3,phd,"machine learning, sql, azure, javascript, leadership, project management, data analysis, excel","Worked as manager for 3 years with expertise in machine learning, sql, azure",manager,1
CAND_0153,8,phd,"scrum, project management","Worked as designer for 8 years with expertise in scrum, project management",designer,1
CAND_0154,0,master,"data analysis, excel","Worked as manager for 0 years with expertise in data analysis, excel",manager,0
CAND_0155,4,master,"react, data analysis, leadership, docker","Worked as developer for 4 years with expertise in react, data analysis, leadership",developer,1
CAND_0156,3,phd,"excel, react, statistics, agile, git, docker","Worked as consultant for 3 years with expertise in excel, react, statistics",consultant,1
CAND_0157,16,associate,"agile, project management, git, react, excel","Worked as consultant for 16 years with expertise in agile, project management, git",consultant,1
CAND_0158,10,high_school,"git, javascript, sql","Worked as designer for 10 years with expertise in git, javascript, sql",designer,0
CAND_0159,6,master,"java, excel, agile, aws, kubernetes, data analysis, machine learning","Worked as developer for 6 years with expertise in java, excel, agile",developer,1
CAND_0160,8,phd,"statistics, kubernetes, leadership","Worked as analyst for 8 years with expertise in statistics, kubernetes, leadership",analyst,1
CAND_0161,9,bachelor,"java, machine learning, project management, javascript","Worked as consultant for 9 years with expertise in java, machine learning, project management",consultant,1
CAND_0162,13,associate,"agile, javascript","Worked as analyst for 13 years with expertise in agile, javascript",analyst,0
CAND_0163,12,bachelor,"aws, project management, git, machine learning, kubernetes","Worked as consultant for 12 years with expertise in aws, project management, git",consultant,1
CAND_0164,10,phd,"kubernetes, azure, excel","Worked as developer for 10 years with expertise in kubernetes, azure, excel",developer,1
CAND_0165,3,high_school,"project management, react, python, data analysis, javascript, statistics, aws, java","Worked as manager for 3 years with expertise in project management, react, python",manager,1
CAND_0166,2,master,"communication, docker, nodejs, data analysis, linux, git","Worked as consultant for 2 years with expertise in communication, docker, nodejs",consultant,0
CAND_0167,19,phd,"javascript, project management, excel","Worked as manager for 19 years with expertise in javascript, project management, excel",manager,1
CAND_0168,10,bachelor,"javascript, data analysis, react, python","Worked as consultant for 10 years with expertise in javascript, data analysis, react",consultant,1
CAND_0169,8,bachelor,"git, data analysis, project management, scrum, teamwork, agile, nodejs","Worked as designer for 8 years with expertise in git, data analysis, project management",designer,1
CAND_0170,19,phd,"docker, python, scrum, java, excel, agile, nodejs, aws","Worked as consultant for 19 years with expertise in docker, python, scrum",consultant,1
CAND_0171,3,high_school,"agile, java, docker, nodejs, javascript, python","Worked as consultant for 3 years with expertise in agile, java, docker",consultant,1
CAND_0172,9,bachelor,"java, docker, git, aws, javascript, communication, project management, kubernetes","Worked as analyst for 9 years with expertise in java, docker, git",analyst,1
CAND_0173,1,bachelor,"communication, linux, react, aws, scrum, nodejs, excel, statistics","Worked as developer for 1 years with expertise in communication, linux, react",developer,0
CAND_0174,14,master,"docker, machine learning, teamwork","Worked as designer for 14 years with expertise in docker, machine learning, teamwork",designer,1
CAND_0175,0,phd,"aws, statistics, kubernetes, machine learning, python, git, data analysis","Worked as manager for 0 years with expertise in aws, statistics, kubernetes",manager,1
CAND_0176,2,associate,"javascript, project management, teamwork, java","Worked as manager for 2 years with expertise in javascript, project management, teamwork",manager,0
CAND_0177,0,associate,"teamwork, leadership, linux, azure","Worked as developer for 0 years with expertise in teamwork, leadership, linux",developer,0
CAND_0178,9,high_school,"docker, azure, nodejs","Worked as developer for 9 years with expertise in docker, azure, nodejs",developer,0
CAND_0179,1,master,"kubernetes, agile, python, communication, linux, statistics, azure","Worked as analyst for 1 years with expertise in kubernetes, agile, python",analyst,1
CAND_0180,15,high_school,"nodejs, kubernetes, project management, teamwork, docker","Worked as manager for 15 years with expertise in nodejs, kubernetes, project management",manager,1
CAND_0181,12,master,"project management, react","Worked as developer for 12 years with expertise in project management, react",developer,1
CAND_0182,14,master,"kubernetes, javascript, linux, azure","Worked as consultant for 14 years with expertise in kubernetes, javascript, linux",consultant,1
CAND_0183,15,associate,"agile, git, machine learning, aws, teamwork, linux","Worked as manager for 15 years with expertise in agile, git, machine learning",manager,0
CAND_0184,9,high_school,"azure, nodejs, scrum, javascript, linux, kubernetes","Worked as developer for 9 years with expertise in azure, nodejs, scrum",developer,0
CAND_0185,17,associate,"scrum, kubernetes, nodejs","Worked as manager for 17 years with expertise in scrum, kubernetes, nodejs",manager,0
CAND_0186,17,bachelor,"data analysis, excel, agile, docker, azure, java, kubernetes, scrum","Worked as consultant for 17 years with expertise in data analysis, excel, agile",consultant,1
CAND_0187,13,phd,"sql, kubernetes, linux, java, aws, communication, scrum","Worked as designer for 13 years with expertise in sql, kubernetes, linux",designer,1
CAND_0188,11,bachelor,"nodejs, javascript, react, leadership, azure, data analysis, statistics, java","Worked as developer for 11 years with expertise in nodejs, javascript, react",developer,1
CAND_0189,0,high_school,"agile, python, azure","Worked as manager for 0 years with expertise in agile, python, azure",manager,0
CAND_0190,8,high_school,"nodejs, sql, azure, teamwork","Worked as developer for 8 years with expertise in nodejs, sql, azure",developer,0
CAND_0191,4,associate,"nodejs, java, linux, kubernetes","Worked as developer for 4 years with expertise in nodejs, java, linux",developer,0
CAND_0192,15,high_school,"nodejs, linux, python, leadership, sql","Worked as manager for 15 years with expertise in nodejs, linux, python",manager,1
CAND_0193,3,master,"python, kubernetes","Worked as designer for 3 years with expertise in python, kubernetes",designer,1
CAND_0194,19,bachelor,"project management, javascript, python, azure, git, data analysis, statistics, nodejs","Worked as analyst for 19 years with expertise in project management, javascript, python",analyst,1
CAND_0195,4,bachelor,"statistics, kubernetes, java, excel, react, python","Worked as designer for 4 years with expertise in statistics, kubernetes, java",designer,1
CAND_0196,11,associate,"kubernetes, sql, docker, linux","Worked as designer for 11 years with expertise in kubernetes, sql, docker",designer,0
CAND_0197,13,phd,"java, javascript, docker, teamwork, kubernetes","Worked as manager for 13 years with expertise in java, javascript, docker",manager,1
CAND_0198,5,phd,"git, python, javascript, sql","Worked as consultant for 5 years with expertise in git, python, javascript",consultant,1
CAND_0199,5,bachelor,"java, project management, kubernetes, statistics, excel","Worked as designer for 5 years with expertise in java, project management, kubernetes",designer,1
CAND_0200,5,associate,"communication, project management, data analysis, statistics, python","Worked as developer for 5 years with expertise in communication, project management, data analysis",developer,1
CAND_0201,10,associate,"docker, communication, python, aws, excel, javascript","Worked as designer for 10 years with expertise in docker, communication, python",designer,1
CAND_0202,8,bachelor,"teamwork, javascript","Worked as developer for 8 years with expertise in teamwork, javascript",developer,1
CAND_0203,0,bachelor,"kubernetes, teamwork, azure, statistics, project management, leadership, scrum, react","Worked as manager for 0 years with expertise in kubernetes, teamwork, azure",manager,1
CAND_0204,16,master,"data analysis, agile, python, java, nodejs, sql, leadership, javascript","Worked as designer for 16 years with expertise in data analysis, agile, python",designer,1
CAND_0205,7,phd,"machine learning, python, communication, scrum, data analysis","Worked as designer for 7 years with expertise in machine learning, python, communication",designer,1
CAND_0206,19,bachelor,"data analysis, javascript, java, teamwork, azure, agile, machine learning","Worked as consultant for 19 years with expertise in data analysis, javascript, java",consultant,1
CAND_0207,3,associate,"sql, linux, git, docker, teamwork, java, aws, excel","Worked as analyst for 3 years with expertise in sql, linux, git",analyst,1
CAND_0208,1,high_school,"data analysis, docker","Worked as consultant for 1 years with expertise in data analysis, docker",consultant,0
CAND_0209,11,master,"docker, kubernetes, agile, java, git","Worked as manager for 11 years with expertise in docker, kubernetes, agile",manager,1
CAND_0210,3,master,"python, machine learning, sql, react, agile, git","Worked as developer for 3 years with expertise in python, machine learning, sql",developer,1
CAND_0211,16,bachelor,"azure, git, excel, javascript, communication, statistics, kubernetes, data analysis","Worked as consultant for 16 years with expertise in azure, git, excel",consultant,1
CAND_0212,7,associate,"javascript, linux, scrum, sql, azure, leadership","Worked as manager for 7 years with expertise in javascript, linux, scrum",manager,1
CAND_0213,13,associate,"java, docker, javascript, react","Worked as consultant for 13 years with expertise in java, docker, javascript",consultant,0
CAND_0214,1,high_school,"sql, scrum","Worked as designer for 1 years with expertise in sql, scrum",designer,0
CAND_0215,5,associate,"data analysis, kubernetes, nodejs, excel, linux, aws","Worked as consultant for 5 years with expertise in data analysis, kubernetes, nodejs",consultant,0
CAND_0216,1,phd,"machine learning, kubernetes, data analysis, java, python","Worked as manager for 1 years with expertise in machine learning, kubernetes, data analysis",manager,1
CAND_0217,7,high_school,"leadership, machine learning, excel","Worked as designer for 7 years with expertise in leadership, machine learning, excel",designer,0
CAND_0218,2,phd,"git, excel, communication","Worked as manager for 2 years with expertise in git, excel, communication",manager,0
CAND_0219,19,high_school,"project management, java, leadership, react, azure, javascript, excel","Worked as designer for 19 years with expertise in project management, java, leadership",designer,1
CAND_0220,17,phd,"aws, data analysis, kubernetes, java","Worked as designer for 17 years with expertise in aws, data analysis, kubernetes",designer,1
CAND_0221,8,bachelor,"python, scrum","Worked as analyst for 8 years with expertise in python, scrum",analyst,1
CAND_0222,11,high_school,"kubernetes, project management, nodejs, sql, teamwork, git, machine learning, java","Worked as consultant for 11 years with expertise in kubernetes, project management, nodejs",consultant,1
CAND_0223,5,bachelor,"kubernetes, nodejs, communication, statistics, git, azure, sql, react","Worked as consultant for 5 years with expertise in kubernetes, nodejs, communication",consultant,1
